"","entity","code","year","net_forest_conversion"
"1","Algeria","DZA",1990,-8800
"2","Algeria","DZA",2000,33900
"3","Algeria","DZA",2010,7600
"4","Algeria","DZA",2015,-1400
"5","Argentina","ARG",1990,-182600
"6","Argentina","ARG",2000,-316400
"7","Argentina","ARG",2010,-223400
"8","Argentina","ARG",2015,-104800
"9","Aruba","ABW",1990,0
"10","Aruba","ABW",2000,0
"11","Aruba","ABW",2010,0
"12","Aruba","ABW",2015,0
"13","Australia","AUS",1990,-206810
"14","Australia","AUS",2000,-226800
"15","Australia","AUS",2010,709680
"16","Austria","AUT",1990,6250
"17","Austria","AUT",2000,2510
"18","Austria","AUT",2010,3600
"19","Austria","AUT",2015,3590
"20","Azerbaijan","AZE",2010,9080
"21","Azerbaijan","AZE",2015,14160
"22","Bahrain","BHR",1990,10
"23","Bahrain","BHR",2000,10
"24","Bahrain","BHR",2010,20
"25","Bahrain","BHR",2015,20
"26","Bangladesh","BGD",1990,0
"27","Bangladesh","BGD",2000,-3200
"28","Bangladesh","BGD",2010,-990.000000000002
"29","Bangladesh","BGD",2015,0
"30","Belarus","BLR",2000,26110
"31","Belarus","BLR",2010,19900
"32","Belarus","BLR",2015,26820
"33","Belgium","BEL",2010,-110
"34","Belgium","BEL",2015,0
"35","Belize","BLZ",1990,-14070
"36","Belize","BLZ",2000,-6790
"37","Belize","BLZ",2010,-11710
"38","Belize","BLZ",2015,-11160
"39","Bhutan","BTN",1990,9930
"40","Bhutan","BTN",2000,9930
"41","Bhutan","BTN",2010,1980
"42","Bhutan","BTN",2015,1980
"43","Bolivia","BOL",1990,-270330
"44","Bolivia","BOL",2000,-201540
"45","Bolivia","BOL",2010,-211760
"46","Bolivia","BOL",2015,-238690
"47","Brazil","BRA",1990,-3780940
"48","Brazil","BRA",2000,-3950790
"49","Brazil","BRA",2010,-1539180
"50","Brazil","BRA",2015,-1453040
"51","Bulgaria","BGR",1990,4800
"52","Bulgaria","BGR",2000,36200
"53","Bulgaria","BGR",2010,19200
"54","Bulgaria","BGR",2015,12000
"55","Burundi","BDI",1990,-8250
"56","Burundi","BDI",2000,0
"57","Burundi","BDI",2010,17140
"58","Burundi","BDI",2015,0
"59","Cameroon","CMR",1990,-90250
"60","Cameroon","CMR",2000,-69700
"61","Cameroon","CMR",2010,-56000
"62","Cameroon","CMR",2015,-56000
"63","Canada","CAN",1990,-47100
"64","Canada","CAN",2000,-47980
"65","Canada","CAN",2010,-41300
"66","Canada","CAN",2015,-37520
"67","Cape Verde","CPV",2000,300
"68","Cape Verde","CPV",2010,300
"69","Cape Verde","CPV",2015,300
"70","Cayman Islands","CYM",1990,-20
"71","Cayman Islands","CYM",2000,-20
"72","Cayman Islands","CYM",2010,0
"73","Cayman Islands","CYM",2015,0
"74","Central African Republic","CAF",1990,-30000
"75","Central African Republic","CAF",2000,-30000
"76","Central African Republic","CAF",2010,-30000
"77","Central African Republic","CAF",2015,-30000
"78","Chile","CHL",1990,57100
"79","Chile","CHL",2000,90820
"80","Chile","CHL",2010,174160
"81","Chile","CHL",2015,122920
"82","China","CHN",1990,1986000
"83","China","CHN",2000,2360980
"84","China","CHN",2010,1936770
"85","China","CHN",2015,1936790
"86","Colombia","COL",1990,-222260
"87","Colombia","COL",2000,-192770
